"","A1R12","E3R18","B2M17","E3R01","6B07","C3R19","A2M03","B3R18","C3R17","E3M18","B2M06","D3R19","E3R09","C3R15","I2M19","C2R09","G3M19","D2R04","F2R14","B2R22","D2R18","A3M17","C3M10","4E07","5C01","4A10","A3R06","4F10","G2R14","B3M08","C3M06","E3M09","E3M17","B2M13","F3R08","D2M19","F3R11","3B05","C1R06","G2M07","4B03","A3R04","C1M14","D2R05","A3R12","A3R16","6D02","6C06","B3M02","E3R11","6D03","C3R12","I3M07","1A01","3C02","G2R10","C2M11","D2M02","E2M01","B3R10","I2R16","F3M07","3D05","C2R02"
"A1R12",0,1.622677555,1.687613279,1.688376705,1.743305304,1.744567924,1.724691195,1.736573648,1.73931696,1.731271972,1.749204191,1.715243395,1.716983905,1.715346322,1.728357957,1.655409436,1.712261649,1.740103628,1.743944088,1.758839627,1.761417045,1.753806258,1.774748297,1.775147636,1.77514953,1.782779208,1.778947783,1.751834595,1.751140218,1.803554635,1.786879779,1.601660276,1.614411995,1.627954402,1.628563951,1.654400831,1.652675752,1.607601996,1.590810526,1.698479429,1.604647273,1.624970301,1.635256421,1.60705569,1.622949534,1.63798343,1.639818761,1.730701171,1.724577651,1.701745888,1.708107464,1.731569604,1.718485795,1.719424169,1.723061651,1.720067138,1.667952297,1.684131116,1.68833668,1.688203654,1.688203654,1.696929778,1.664160483,1.67652114
"E3R18",1.622677555,0,0.736335446,0.737098872,0.792027471,0.793290091,0.773413362,0.785295815,0.788039127,0.779994139,0.797926358,0.763965562,0.765706072,0.764068489,0.777080124,1.604376953,1.661229166,1.689071145,1.692911605,1.707807144,1.710384562,1.702773775,1.723715814,1.724115153,1.724117047,1.731746725,1.7279153,1.700802112,1.700107735,1.752522152,1.735847296,1.550627793,1.563379512,1.576921919,1.577531468,1.603368348,1.601643269,1.556569513,1.539778043,1.647446946,1.55361479,1.573937818,1.584223938,1.556023207,1.571917051,1.586950947,1.588786278,1.679668688,1.673545168,1.650713405,1.657074981,1.680537121,1.667453312,1.668391686,1.672029168,1.669034655,1.616919814,1.633098633,1.637304197,1.637171171,1.637171171,1.645897295,1.613128,1.625488657
"B2M17",1.687613279,0.736335446,0,0.160595844,0.386860385,0.388123005,0.368246276,0.380128729,0.382872041,0.374827053,0.392759272,0.358798476,0.360538986,0.358901403,0.371913038,1.669312677,1.72616489,1.754006869,1.757847329,1.772742868,1.775320286,1.767709499,1.788651538,1.789050877,1.789052771,1.796682449,1.792851024,1.765737836,1.765043459,1.817457876,1.80078302,1.615563517,1.628315236,1.641857643,1.642467192,1.668304072,1.666578993,1.621505237,1.604713767,1.71238267,1.618550514,1.638873542,1.649159662,1.620958931,1.636852775,1.651886671,1.653722002,1.744604412,1.738480892,1.715649129,1.722010705,1.745472845,1.732389036,1.73332741,1.736964892,1.733970379,1.681855538,1.698034357,1.702239921,1.702106895,1.702106895,1.710833019,1.678063724,1.690424381
"E3R01",1.688376705,0.737098872,0.160595844,0,0.387623811,0.388886431,0.369009702,0.380892155,0.383635467,0.375590479,0.393522698,0.359561902,0.361302412,0.359664829,0.372676464,1.670076103,1.726928316,1.754770295,1.758610755,1.773506294,1.776083712,1.768472925,1.789414964,1.789814303,1.789816197,1.797445875,1.79361445,1.766501262,1.765806885,1.818221302,1.801546446,1.616326943,1.629078662,1.642621069,1.643230618,1.669067498,1.667342419,1.622268663,1.605477193,1.713146096,1.61931394,1.639636968,1.649923088,1.621722357,1.637616201,1.652650097,1.654485428,1.745367838,1.739244318,1.716412555,1.722774131,1.746236271,1.733152462,1.734090836,1.737728318,1.734733805,1.682618964,1.698797783,1.703003347,1.702870321,1.702870321,1.711596445,1.67882715,1.691187807
"6B07",1.743305304,0.792027471,0.386860385,0.387623811,0,0.005093012,0.155228405,0.167110858,0.16985417,0.191959872,0.209892091,0.332037241,0.333777751,0.332140168,0.345151803,1.725004702,1.781856915,1.809698894,1.813539354,1.828434893,1.831012311,1.823401524,1.844343563,1.844742902,1.844744796,1.852374474,1.848543049,1.821429861,1.820735484,1.873149901,1.856475045,1.671255542,1.684007261,1.697549668,1.698159217,1.723996097,1.722271018,1.677197262,1.660405792,1.768074695,1.674242539,1.694565567,1.704851687,1.676650956,1.6925448,1.707578696,1.709414027,1.800296437,1.794172917,1.771341154,1.77770273,1.80116487,1.788081061,1.789019435,1.792656917,1.789662404,1.737547563,1.753726382,1.757931946,1.75779892,1.75779892,1.766525044,1.733755749,1.746116406
"C3R19",1.744567924,0.793290091,0.388123005,0.388886431,0.005093012,0,0.156491025,0.168373478,0.17111679,0.193222492,0.211154711,0.333299861,0.335040371,0.333402788,0.346414423,1.726267322,1.783119535,1.810961514,1.814801974,1.829697513,1.832274931,1.824664144,1.845606183,1.846005522,1.846007416,1.853637094,1.849805669,1.822692481,1.821998104,1.874412521,1.857737665,1.672518162,1.685269881,1.698812288,1.699421837,1.725258717,1.723533638,1.678459882,1.661668412,1.769337315,1.675505159,1.695828187,1.706114307,1.677913576,1.69380742,1.708841316,1.710676647,1.801559057,1.795435537,1.772603774,1.77896535,1.80242749,1.789343681,1.790282055,1.793919537,1.790925024,1.738810183,1.754989002,1.759194566,1.75906154,1.75906154,1.767787664,1.735018369,1.747379026
"A2M03",1.724691195,0.773413362,0.368246276,0.369009702,0.155228405,0.156491025,0,0.059607417,0.062350729,0.173345763,0.191277982,0.313423132,0.315163642,0.313526059,0.326537694,1.706390593,1.763242806,1.791084785,1.794925245,1.809820784,1.812398202,1.804787415,1.825729454,1.826128793,1.826130687,1.833760365,1.82992894,1.802815752,1.802121375,1.854535792,1.837860936,1.652641433,1.665393152,1.678935559,1.679545108,1.705381988,1.703656909,1.658583153,1.641791683,1.749460586,1.65562843,1.675951458,1.686237578,1.658036847,1.673930691,1.688964587,1.690799918,1.781682328,1.775558808,1.752727045,1.759088621,1.782550761,1.769466952,1.770405326,1.774042808,1.771048295,1.718933454,1.735112273,1.739317837,1.739184811,1.739184811,1.747910935,1.71514164,1.727502297
"B3R18",1.736573648,0.785295815,0.380128729,0.380892155,0.167110858,0.168373478,0.059607417,0,0.038073706,0.185228216,0.203160435,0.325305585,0.327046095,0.325408512,0.338420147,1.718273046,1.775125259,1.802967238,1.806807698,1.821703237,1.824280655,1.816669868,1.837611907,1.838011246,1.83801314,1.845642818,1.841811393,1.814698205,1.814003828,1.866418245,1.849743389,1.664523886,1.677275605,1.690818012,1.691427561,1.717264441,1.715539362,1.670465606,1.653674136,1.761343039,1.667510883,1.687833911,1.698120031,1.6699193,1.685813144,1.70084704,1.702682371,1.793564781,1.787441261,1.764609498,1.770971074,1.794433214,1.781349405,1.782287779,1.785925261,1.782930748,1.730815907,1.746994726,1.75120029,1.751067264,1.751067264,1.759793388,1.727024093,1.73938475
"C3R17",1.73931696,0.788039127,0.382872041,0.383635467,0.16985417,0.17111679,0.062350729,0.038073706,0,0.187971528,0.205903747,0.328048897,0.329789407,0.328151824,0.341163459,1.721016358,1.777868571,1.80571055,1.80955101,1.824446549,1.827023967,1.81941318,1.840355219,1.840754558,1.840756452,1.84838613,1.844554705,1.817441517,1.81674714,1.869161557,1.852486701,1.667267198,1.680018917,1.693561324,1.694170873,1.720007753,1.718282674,1.673208918,1.656417448,1.764086351,1.670254195,1.690577223,1.700863343,1.672662612,1.688556456,1.703590352,1.705425683,1.796308093,1.790184573,1.76735281,1.773714386,1.797176526,1.784092717,1.785031091,1.788668573,1.78567406,1.733559219,1.749738038,1.753943602,1.753810576,1.753810576,1.7625367,1.729767405,1.742128062
"E3M18",1.731271972,0.779994139,0.374827053,0.375590479,0.191959872,0.193222492,0.173345763,0.185228216,0.187971528,0,0.159323775,0.320003909,0.321744419,0.320106836,0.333118471,1.71297137,1.769823583,1.797665562,1.801506022,1.816401561,1.818978979,1.811368192,1.832310231,1.83270957,1.832711464,1.840341142,1.836509717,1.809396529,1.808702152,1.861116569,1.844441713,1.65922221,1.671973929,1.685516336,1.686125885,1.711962765,1.710237686,1.66516393,1.64837246,1.756041363,1.662209207,1.682532235,1.692818355,1.664617624,1.680511468,1.695545364,1.697380695,1.788263105,1.782139585,1.759307822,1.765669398,1.789131538,1.776047729,1.776986103,1.780623585,1.777629072,1.725514231,1.74169305,1.745898614,1.745765588,1.745765588,1.754491712,1.721722417,1.734083074
