medium	description	compound	name			
MBM_ac	medium_MBM_no_co2_hco3	ac	R_EX_ac_e			
MBM_ac	medium_MBM_no_co2_hco3	h2o	R_EX_h2o_e			
MBM_ac	medium_MBM_no_co2_hco3	o2	R_EX_o2_e			
MBM_ac	medium_MBM_no_co2_hco3	cl	R_EX_cl_e			
MBM_ac	medium_MBM_no_co2_hco3	na1	R_EX_na1_e			
MBM_ac	medium_MBM_no_co2_hco3	so4	R_EX_so4_e			
MBM_ac	medium_MBM_no_co2_hco3	k	R_EX_k_e			
MBM_ac	medium_MBM_no_co2_hco3	mg2	R_EX_mg2_e			
MBM_ac	medium_MBM_no_co2_hco3	ca2	R_EX_ca2_e			
MBM_ac	medium_MBM_no_co2_hco3	nh4	R_EX_nh4_e			
MBM_ac	medium_MBM_no_co2_hco3	pi	R_EX_pi_e			
MBM_ac	medium_MBM_no_co2_hco3	btn	R_EX_btn_e			
MBM_ac	medium_MBM_no_co2_hco3	fol	R_EX_fol_e			
MBM_ac	medium_MBM_no_co2_hco3	pydxn	R_EX_pydxn_e			
MBM_ac	medium_MBM_no_co2_hco3	ribflv	R_EX_ribflv_e			
MBM_ac	medium_MBM_no_co2_hco3	thm	R_EX_thm_e			
MBM_ac	medium_MBM_no_co2_hco3	nac	R_EX_nac_e			
MBM_ac	medium_MBM_no_co2_hco3	ala_B	R_EX_ala_B_e			
MBM_ac	medium_MBM_no_co2_hco3	4abz	R_EX_4abz_e			
MBM_ac	medium_MBM_no_co2_hco3	fe3	R_EX_fe3_e			
MBM_ac	medium_MBM_no_co2_hco3	h	R_EX_h_e			
MBM_ac	medium_MBM_no_co2_hco3	cobalt2	R_EX_cobalt2_e			
MBM_ac	medium_MBM_no_co2_hco3	cu2	R_EX_cu2_e			
MBM_ac	medium_MBM_no_co2_hco3	fe2	R_EX_fe2_e			
MBM_ac	medium_MBM_no_co2_hco3	mn2	R_EX_mn2_e			
MBM_ac	medium_MBM_no_co2_hco3	mobd	R_EX_mobd_e			
MBM_ac	medium_MBM_no_co2_hco3	zn2	R_EX_zn2_e			
MBM_ac	medium_MBM_no_co2_hco3	sel	R_EX_sel_e			
MBM_ac	medium_MBM_no_co2_hco3	ni2	R_EX_ni2_e			
MBM_ac	medium_MBM_no_co2_hco3	slnt	R_EX_slnt_e			
MBM_ac	medium_MBM_no_co2_hco3	tungs	R_EX_tungs_e			
MBM_ac	medium_MBM_no_co2_hco3	h2	R_EX_h2_e			
MBM_ac	medium_MBM_no_co2_hco3	cu	R_EX_cu_e			
MBM_ac	medium_MBM_no_co2_hco3	cbl1	R_EX_cbl1_e			
