,E3R11,E3R18,C2M11,E3R11_,B3M02,E3M18,m_4B03,m_3C02,E3M17,E3R01,A3R12,I3M07,G2R10,B3R10,A1R12,A2M03,A3M17,A3R04,A3R06,A3R16,B2M06,B2M13,B2M17,B3R18,C1M14,C1R06,C2R02,C2R09,C3M06,C3M10,C3R12,C3R15,C3R17,D2M02,D2M19,D2R04,D2R05,D2R18,D3R19,E2M01,E3M09,E3R09,F2R14,F3M07,F3M07_,F3R08,F3R11,G2M07,G2R14,G3M19,I2M19,I2R16,m_1A01,m_3B05,m_3D05,m_4A10,m_4E07,m_4F10,m_5C01,m_6C06,m_6D02,m_6D03
E3R18,1.0,,2.0,6.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,,2.0,,,6.0,,,,,1.0,1.0,,15.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,
G2R10,3.0,9.0,2.0,,5.0,4.0,2.0,,1.0,8.0,5.0,1.0,,4.0,11.0,,,2.0,,,10.0,,,,1.0,3.0,5.0,,4.0,,,,5.0,,5.0,,2.0,,10.0,1.0,,2.0,,,1.0,7.0,1.0,,,1.0,,3.0,,,3.0,,,,,4.0,3.0,3.0
m_3C02,7.0,10.0,2.0,,4.0,4.0,2.0,,,8.0,4.0,2.0,,4.0,12.0,,,1.0,,,10.0,,,,4.0,1.0,4.0,,7.0,,,,5.0,,10.0,,2.0,,12.0,3.0,,1.0,,,2.0,10.0,1.0,,,1.0,,2.0,,,5.0,,,,,5.0,3.0,2.0
m_1A01,2.0,8.0,3.0,,5.0,5.0,2.0,,,6.0,4.0,1.0,,4.0,9.0,,,2.0,,,11.0,,,,2.0,3.0,3.0,,3.0,,,,4.0,1.0,9.0,,2.0,,11.0,,,1.0,,,1.0,8.0,1.0,,,,,2.0,,1.0,4.0,,,,,3.0,2.0,2.0
C3R12,3.0,9.0,2.0,,4.0,4.0,2.0,,,8.0,3.0,,,4.0,10.0,,,2.0,,,9.0,,,,2.0,3.0,4.0,,4.0,,,,4.0,,3.0,,2.0,,11.0,2.0,,3.0,,,,4.0,1.0,,,1.0,,4.0,,,4.0,,,,,2.0,2.0,1.0
I3M07,5.0,14.0,3.0,,5.0,7.0,6.0,1.0,2.0,10.0,6.0,,1.0,4.0,12.0,,,6.0,,,12.0,,,,6.0,4.0,7.0,,6.0,,1.0,,7.0,1.0,10.0,,3.0,,14.0,6.0,,7.0,,,4.0,8.0,1.0,,,,,5.0,2.0,1.0,5.0,,,,,4.0,4.0,2.0
I2R16,2.0,8.0,,,2.0,2.0,,1.0,7.0,5.0,,1.0,1.0,,8.0,,,3.0,,,4.0,,,,1.0,,1.0,,4.0,,1.0,,4.0,,6.0,,1.0,,,3.0,,1.0,,8.0,11.0,6.0,,,,7.0,,,1.0,,1.0,,,,,1.0,5.0,
C1R06,2.0,5.0,1.0,,3.0,4.0,2.0,2.0,,6.0,2.0,1.0,2.0,,7.0,,,5.0,,,10.0,,,,1.0,,1.0,,4.0,,2.0,,4.0,,2.0,,2.0,,19.0,3.0,,2.0,,5.0,1.0,1.0,1.0,,,4.0,,2.0,2.0,,4.0,,,,,3.0,2.0,3.0
C3R17,3.0,12.0,1.0,,1.0,,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,4.0,,,,,,8.0,,,,6.0,,1.0,,1.0,,1.0,,,,2.0,,,,,2.0,,1.0,,2.0,3.0,2.0,1.0,,,4.0,,1.0,,,1.0,,,,,2.0,,2.0
D2M19,1.0,4.0,,,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,2.0,,5.0,,,2.0,,,8.0,,,,,,1.0,,3.0,,2.0,,1.0,,,,,,2.0,2.0,,,,1.0,3.0,1.0,1.0,,,,,2.0,,,1.0,,,,,2.0,,1.0
C3M06,2.0,,1.0,,1.0,1.0,,,,6.0,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,2.0,,5.0,,,,,2.0,,,,,,2.0,,,,,,2.0,,,1.0,,,,,2.0,,
m_6D03,1.0,10.0,,,4.0,7.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,10.0,,,2.0,,,11.0,,,,2.0,2.0,2.0,,5.0,,1.0,,4.0,,6.0,,2.0,,8.0,5.0,,2.0,,,,4.0,1.0,,,,,4.0,1.0,,4.0,,,,,5.0,1.0,
A1R12,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,
