Supplier family,Focal family,Count,Count/strains in supp family
Arcobacteraceae,Arcobacteraceae,0.0,0.0
Cyclobacteriaceae,Arcobacteraceae,1.0,1.0
Flavobacteriaceae,Arcobacteraceae,26.0,2.3636363636363638
Rhodobacteraceae,Arcobacteraceae,0.0,0.0
Vibrionaceae,Arcobacteraceae,73.0,10.428571428571429
Psychromonadaceae,Arcobacteraceae,11.0,5.5
Psychrobiaceae,Arcobacteraceae,0.0,0.0
Alteromonadaceae,Arcobacteraceae,58.0,4.142857142857143
Oleiphilaceae,Arcobacteraceae,5.0,1.6666666666666667
Halomonadaceae,Arcobacteraceae,0.0,0.0
Nitrincolaceae,Arcobacteraceae,7.0,3.5
Saccharospirillaceae,Arcobacteraceae,0.0,0.0
Cellvibrionaceae,Arcobacteraceae,0.0,0.0
Arcobacteraceae,Cyclobacteriaceae,1.0,1.0
Cyclobacteriaceae,Cyclobacteriaceae,0.0,0.0
Flavobacteriaceae,Cyclobacteriaceae,31.0,2.8181818181818183
Rhodobacteraceae,Cyclobacteriaceae,5.0,0.35714285714285715
Vibrionaceae,Cyclobacteriaceae,67.0,9.571428571428571
Psychromonadaceae,Cyclobacteriaceae,9.0,4.5
Psychrobiaceae,Cyclobacteriaceae,1.0,1.0
Alteromonadaceae,Cyclobacteriaceae,67.0,4.785714285714286
Oleiphilaceae,Cyclobacteriaceae,7.0,2.3333333333333335
Halomonadaceae,Cyclobacteriaceae,0.0,0.0
Nitrincolaceae,Cyclobacteriaceae,5.0,2.5
Saccharospirillaceae,Cyclobacteriaceae,0.0,0.0
Cellvibrionaceae,Cyclobacteriaceae,3.0,1.5
Arcobacteraceae,Flavobacteriaceae,8.0,8.0
Cyclobacteriaceae,Flavobacteriaceae,14.0,14.0
Flavobacteriaceae,Flavobacteriaceae,71.0,6.454545454545454
Rhodobacteraceae,Flavobacteriaceae,43.0,3.0714285714285716
Vibrionaceae,Flavobacteriaceae,274.0,39.142857142857146
Psychromonadaceae,Flavobacteriaceae,28.0,14.0
Psychrobiaceae,Flavobacteriaceae,2.0,2.0
Alteromonadaceae,Flavobacteriaceae,163.0,11.642857142857142
Oleiphilaceae,Flavobacteriaceae,29.0,9.666666666666666
Halomonadaceae,Flavobacteriaceae,0.0,0.0
Nitrincolaceae,Flavobacteriaceae,45.0,22.5
Saccharospirillaceae,Flavobacteriaceae,0.0,0.0
Cellvibrionaceae,Flavobacteriaceae,7.0,3.5
Arcobacteraceae,Rhodobacteraceae,0.0,0.0
Cyclobacteriaceae,Rhodobacteraceae,15.0,15.0
Flavobacteriaceae,Rhodobacteraceae,11.0,1.0
Rhodobacteraceae,Rhodobacteraceae,0.0,0.0
Vibrionaceae,Rhodobacteraceae,41.0,5.857142857142857
Psychromonadaceae,Rhodobacteraceae,10.0,5.0
Psychrobiaceae,Rhodobacteraceae,0.0,0.0
Alteromonadaceae,Rhodobacteraceae,60.0,4.285714285714286
Oleiphilaceae,Rhodobacteraceae,3.0,1.0
Halomonadaceae,Rhodobacteraceae,0.0,0.0
Nitrincolaceae,Rhodobacteraceae,8.0,4.0
Saccharospirillaceae,Rhodobacteraceae,0.0,0.0
Cellvibrionaceae,Rhodobacteraceae,0.0,0.0
Arcobacteraceae,Vibrionaceae,1.0,1.0
Cyclobacteriaceae,Vibrionaceae,6.0,6.0
Flavobacteriaceae,Vibrionaceae,18.0,1.6363636363636365
Rhodobacteraceae,Vibrionaceae,2.0,0.14285714285714285
Vibrionaceae,Vibrionaceae,55.0,7.857142857142857
Psychromonadaceae,Vibrionaceae,17.0,8.5
Psychrobiaceae,Vibrionaceae,0.0,0.0
Alteromonadaceae,Vibrionaceae,56.0,4.0
Oleiphilaceae,Vibrionaceae,9.0,3.0
Halomonadaceae,Vibrionaceae,0.0,0.0
Nitrincolaceae,Vibrionaceae,14.0,7.0
Saccharospirillaceae,Vibrionaceae,0.0,0.0
Cellvibrionaceae,Vibrionaceae,0.0,0.0
Arcobacteraceae,Psychromonadaceae,1.0,1.0
Cyclobacteriaceae,Psychromonadaceae,1.0,1.0
Flavobacteriaceae,Psychromonadaceae,10.0,0.9090909090909091
Rhodobacteraceae,Psychromonadaceae,5.0,0.35714285714285715
Vibrionaceae,Psychromonadaceae,55.0,7.857142857142857
Psychromonadaceae,Psychromonadaceae,2.0,1.0
Psychrobiaceae,Psychromonadaceae,0.0,0.0
Alteromonadaceae,Psychromonadaceae,27.0,1.9285714285714286
Oleiphilaceae,Psychromonadaceae,6.0,2.0
Halomonadaceae,Psychromonadaceae,0.0,0.0
Nitrincolaceae,Psychromonadaceae,6.0,3.0
Saccharospirillaceae,Psychromonadaceae,0.0,0.0
Cellvibrionaceae,Psychromonadaceae,0.0,0.0
Arcobacteraceae,Psychrobiaceae,0.0,0.0
Cyclobacteriaceae,Psychrobiaceae,0.0,0.0
Flavobacteriaceae,Psychrobiaceae,1.0,0.09090909090909091
Rhodobacteraceae,Psychrobiaceae,1.0,0.07142857142857142
Vibrionaceae,Psychrobiaceae,15.0,2.142857142857143
