	3pg	ac	acgam	akg	cit	f6p	for	glc__D	glu__D	icit	ile__L	met__L	oaa	pep	phe__L	pro__L	pyr	r5p	rib__D	rmn	ser__D	trp__L
A1R12	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community
A2M03	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth
A3M17	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth
A3R04	0 / no growth / no growth / no growth	0.22581553236984345 / 0.2258155323698378 / 0.22581553236983834 / 0.2258155323698382	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	1.0199541675225987 / 1.0199541675226025 / 1.0199541675226025 / 1.0199541675226025	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / no growth / no growth / no growth	0 / in community / in community / in community	0.8240577747673383 / 0.8240577747253056 / 0.8240577747253074 / 0.8240577747253056	0.3824075412278514 / 0.3824075412278517 / 0.3824075412278516 / 0.3824075412278516	0 / in community / in community / in community	0.8107327998256609 / 0.8107327998256587 / 0.8107327998256569 / 0.8107327998256602	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community
A3R06	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth
A3R12	0 / in community / no growth / no growth	0.3638436032246636 / 0.3638436032246624 / 0.3638436032246624 / 0.3638436032246624	0 / in community / in community / in community	0 / in community / in community / in community	1.0915308096747545 / 1.0915308096739875 / 1.0915308096739875 / 1.0915308096739875	0 / in community / in community / in community	0 / in community / in community / in community	1.4521052015317 / 1.4521052015316729 / 1.4521052015316729 / 1.452105201531672	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	1.1028202461573744 / 1.1028202461573566 / 1.1028202461573566 / 1.1028202461573557	0 / in community / in community / in community	0.727687206449318 / 0.7276872064493238 / 0.7276872064493212 / 0.7276872064493224	0 / no growth / no growth / no growth	0 / in community / in community / in community	1.0915308096739977 / 1.0915308096739818 / 1.0915308096739818 / 1.0915308096739818	0.7260526007658492 / 0.7260526007658364 / 0.7260526007658364 / 0.7260526007658364	0 / no growth / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0.7260526007658318 / 0.7260526007658359 / 0.7260526007658359 / 0.7260526007658359	0 / in community / in community / in community
A3R16	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	1.165329535021793 / 1.1653295350221784 / 1.1653295350221706 / 1.1653295350221706	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth
B2M06	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / no growth	0 / in community / in community / in community	0 / no growth / no growth / no growth	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community	0 / in community / in community / in community
B2M13	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth
B2M17	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth	0 / no growth / no growth / no growth
